Task,Family,Model,TestSubject,Accuracy,F1,SourceFile
Tri-class (3-class),DL,CNN1D,11,0.8857142857142857,0.8905504318547797,dl_loso_cnn1d_3cls_20260513_230306.json
Tri-class (3-class),DL,CNN1D,13,0.9,0.8905560224089636,dl_loso_cnn1d_3cls_20260513_230306.json
Tri-class (3-class),DL,CNN1D,14,0.7571428571428571,0.7173791621911922,dl_loso_cnn1d_3cls_20260513_230306.json
Tri-class (3-class),DL,CNN1D,15,0.9014084507042254,0.9028944682588284,dl_loso_cnn1d_3cls_20260513_230306.json
Tri-class (3-class),DL,CNN1D,16,0.9861111111111112,0.9863228558880733,dl_loso_cnn1d_3cls_20260513_230306.json
Tri-class (3-class),DL,CNN1D,17,0.8888888888888888,0.8895979151260841,dl_loso_cnn1d_3cls_20260513_230306.json
Tri-class (3-class),DL,ResNet1D,2,0.417910447761194,0.43049833825885736,dl_loso_resnet1d_3cls_20260513_231944.json
Tri-class (3-class),DL,ResNet1D,3,0.7352941176470589,0.7171448061316683,dl_loso_resnet1d_3cls_20260513_231944.json
Tri-class (3-class),DL,ResNet1D,4,0.8676470588235294,0.8424836601307188,dl_loso_resnet1d_3cls_20260513_231944.json
Tri-class (3-class),DL,ResNet1D,5,0.8714285714285714,0.8679120879120878,dl_loso_resnet1d_3cls_20260513_231944.json
Tri-class (3-class),DL,ResNet1D,6,0.9857142857142858,0.9859296066252589,dl_loso_resnet1d_3cls_20260513_231944.json
Tri-class (3-class),DL,ResNet1D,7,0.9,0.8807843137254903,dl_loso_resnet1d_3cls_20260513_231944.json
Tri-class (3-class),DL,ResNet1D,8,0.6142857142857143,0.6142857142857143,dl_loso_resnet1d_3cls_20260513_231944.json
Tri-class (3-class),DL,ResNet1D,9,0.9428571428571428,0.9385714285714286,dl_loso_resnet1d_3cls_20260513_231944.json
Tri-class (3-class),DL,ResNet1D,10,0.676056338028169,0.6189671361502348,dl_loso_resnet1d_3cls_20260513_231944.json
Tri-class (3-class),DL,ResNet1D,11,0.9428571428571428,0.9456654456654456,dl_loso_resnet1d_3cls_20260513_231944.json
Tri-class (3-class),DL,ResNet1D,13,0.9142857142857143,0.911450185748058,dl_loso_resnet1d_3cls_20260513_231944.json
Tri-class (3-class),DL,ResNet1D,14,0.7142857142857143,0.6764934111643188,dl_loso_resnet1d_3cls_20260513_231944.json
Tri-class (3-class),DL,ResNet1D,15,0.8450704225352113,0.7774000323781771,dl_loso_resnet1d_3cls_20260513_231944.json
Tri-class (3-class),DL,ResNet1D,16,0.7361111111111112,0.7547655137568324,dl_loso_resnet1d_3cls_20260513_231944.json
Tri-class (3-class),DL,ResNet1D,17,0.7777777777777778,0.7690476190476191,dl_loso_resnet1d_3cls_20260513_231944.json
Tri-class (3-class),DL,UNet1D,2,0.8208955223880597,0.8245746059617877,dl_loso_unet1d_3cls_20260513_230721.json
Tri-class (3-class),DL,UNet1D,3,0.7647058823529411,0.7599917305799659,dl_loso_unet1d_3cls_20260513_230721.json
Tri-class (3-class),DL,UNet1D,4,0.9411764705882353,0.9361488185017597,dl_loso_unet1d_3cls_20260513_230721.json
Tri-class (3-class),DL,UNet1D,5,0.9142857142857143,0.9110714285714286,dl_loso_unet1d_3cls_20260513_230721.json
Tri-class (3-class),DL,UNet1D,6,0.9714285714285714,0.9703663003663004,dl_loso_unet1d_3cls_20260513_230721.json
Tri-class (3-class),DL,UNet1D,7,0.8571428571428571,0.8354591836734694,dl_loso_unet1d_3cls_20260513_230721.json
Tri-class (3-class),DL,UNet1D,8,0.7714285714285715,0.7809337068160598,dl_loso_unet1d_3cls_20260513_230721.json
Tri-class (3-class),DL,UNet1D,9,1.0,1.0,dl_loso_unet1d_3cls_20260513_230721.json
Tri-class (3-class),DL,UNet1D,10,0.8873239436619719,0.8703194778426658,dl_loso_unet1d_3cls_20260513_230721.json
Tri-class (3-class),DL,UNet1D,11,0.9857142857142858,0.9857851605758583,dl_loso_unet1d_3cls_20260513_230721.json
Tri-class (3-class),DL,UNet1D,13,0.8285714285714286,0.768765688093419,dl_loso_unet1d_3cls_20260513_230721.json
Tri-class (3-class),DL,UNet1D,14,0.7428571428571429,0.7250741322169894,dl_loso_unet1d_3cls_20260513_230721.json
Tri-class (3-class),DL,UNet1D,15,0.8873239436619719,0.8749081445192897,dl_loso_unet1d_3cls_20260513_230721.json
Tri-class (3-class),DL,UNet1D,16,0.7222222222222222,0.7404670680532749,dl_loso_unet1d_3cls_20260513_230721.json
Tri-class (3-class),DL,UNet1D,17,0.8888888888888888,0.8771189662733779,dl_loso_unet1d_3cls_20260513_230721.json
Tri-class (3-class),ML,AdaBoost,2,0.9104477611940298,0.9105836364396503,loso_20260513_223538.json
Tri-class (3-class),ML,AdaBoost,3,0.9411764705882353,0.9419934640522876,loso_20260513_223538.json
Tri-class (3-class),ML,AdaBoost,4,0.9264705882352942,0.917984319565503,loso_20260513_223538.json
Tri-class (3-class),ML,AdaBoost,5,0.9714285714285714,0.9722431077694235,loso_20260513_223538.json
Tri-class (3-class),ML,AdaBoost,6,1.0,1.0,loso_20260513_223538.json
Tri-class (3-class),ML,AdaBoost,7,0.8,0.7980486931614751,loso_20260513_223538.json
Tri-class (3-class),ML,AdaBoost,8,0.8571428571428571,0.8663265306122448,loso_20260513_223538.json
Tri-class (3-class),ML,AdaBoost,9,1.0,1.0,loso_20260513_223538.json
Tri-class (3-class),ML,AdaBoost,10,0.9014084507042254,0.8825612308388483,loso_20260513_223538.json
Tri-class (3-class),ML,AdaBoost,11,0.9857142857142858,0.9858506286926223,loso_20260513_223538.json
Tri-class (3-class),ML,AdaBoost,13,0.9857142857142858,0.9854669140383425,loso_20260513_223538.json
Tri-class (3-class),ML,AdaBoost,14,0.8428571428571429,0.8175238095238095,loso_20260513_223538.json
Tri-class (3-class),ML,AdaBoost,15,0.9154929577464789,0.9027396083819993,loso_20260513_223538.json
Tri-class (3-class),ML,AdaBoost,16,1.0,1.0,loso_20260513_223538.json
Tri-class (3-class),ML,AdaBoost,17,0.8333333333333334,0.8358468286099865,loso_20260513_223538.json
Tri-class (3-class),ML,DecisionTree,2,0.8955223880597015,0.8995837712844229,loso_20260513_223538.json
Tri-class (3-class),ML,DecisionTree,3,0.8529411764705882,0.8557536010300154,loso_20260513_223538.json
Tri-class (3-class),ML,DecisionTree,4,0.8676470588235294,0.8290083410565339,loso_20260513_223538.json
Tri-class (3-class),ML,DecisionTree,5,0.9428571428571428,0.9428571428571428,loso_20260513_223538.json
Tri-class (3-class),ML,DecisionTree,6,0.8571428571428571,0.8637708181108116,loso_20260513_223538.json
Tri-class (3-class),ML,DecisionTree,7,0.7714285714285715,0.7206435006435006,loso_20260513_223538.json
Tri-class (3-class),ML,DecisionTree,8,0.6714285714285714,0.6841030248577419,loso_20260513_223538.json
Tri-class (3-class),ML,DecisionTree,9,0.9714285714285714,0.9708101422387136,loso_20260513_223538.json
Tri-class (3-class),ML,DecisionTree,10,0.8450704225352113,0.7741105266134962,loso_20260513_223538.json
Tri-class (3-class),ML,DecisionTree,11,0.9,0.9020689655172414,loso_20260513_223538.json
Tri-class (3-class),ML,DecisionTree,13,0.8714285714285714,0.8337297996121525,loso_20260513_223538.json
Tri-class (3-class),ML,DecisionTree,14,0.4714285714285714,0.49390476190476185,loso_20260513_223538.json
Tri-class (3-class),ML,DecisionTree,15,0.8732394366197183,0.8360716334204321,loso_20260513_223538.json
Tri-class (3-class),ML,DecisionTree,16,1.0,1.0,loso_20260513_223538.json
Tri-class (3-class),ML,DecisionTree,17,0.7222222222222222,0.7267622461170848,loso_20260513_223538.json
Tri-class (3-class),ML,KNN,2,0.5522388059701493,0.5498662431324701,loso_20260513_223538.json
Tri-class (3-class),ML,KNN,3,0.8382352941176471,0.8372398190045249,loso_20260513_223538.json
Tri-class (3-class),ML,KNN,4,0.7941176470588235,0.763235294117647,loso_20260513_223538.json
Tri-class (3-class),ML,KNN,5,0.8571428571428571,0.8057359307359307,loso_20260513_223538.json
Tri-class (3-class),ML,KNN,6,0.9142857142857143,0.9013501742160278,loso_20260513_223538.json
Tri-class (3-class),ML,KNN,7,0.8857142857142857,0.8583768391077361,loso_20260513_223538.json
Tri-class (3-class),ML,KNN,8,0.8714285714285714,0.8337297996121525,loso_20260513_223538.json
Tri-class (3-class),ML,KNN,9,1.0,1.0,loso_20260513_223538.json
Tri-class (3-class),ML,KNN,10,0.676056338028169,0.6438284975134947,loso_20260513_223538.json
Tri-class (3-class),ML,KNN,11,0.9714285714285714,0.9715191430054929,loso_20260513_223538.json
Tri-class (3-class),ML,KNN,13,0.8428571428571429,0.7717417876241406,loso_20260513_223538.json
Tri-class (3-class),ML,KNN,14,0.8714285714285714,0.8718896713615024,loso_20260513_223538.json
Tri-class (3-class),ML,KNN,15,0.8450704225352113,0.7774000323781771,loso_20260513_223538.json
Tri-class (3-class),ML,KNN,16,0.8472222222222222,0.8578787325913763,loso_20260513_223538.json
Tri-class (3-class),ML,KNN,17,0.7916666666666666,0.7448292448292448,loso_20260513_223538.json
Tri-class (3-class),ML,LDA,2,0.4925373134328358,0.49010503040353787,loso_20260513_223538.json
Tri-class (3-class),ML,LDA,3,0.7794117647058824,0.762373417721519,loso_20260513_223538.json
Tri-class (3-class),ML,LDA,4,0.8382352941176471,0.7678200692041522,loso_20260513_223538.json
Tri-class (3-class),ML,LDA,5,0.9571428571428572,0.9563936967191939,loso_20260513_223538.json
Tri-class (3-class),ML,LDA,6,1.0,1.0,loso_20260513_223538.json
Tri-class (3-class),ML,LDA,7,0.8857142857142857,0.8583768391077361,loso_20260513_223538.json
Tri-class (3-class),ML,LDA,8,0.8857142857142857,0.8759280767410849,loso_20260513_223538.json
Tri-class (3-class),ML,LDA,9,0.9857142857142858,0.9854964910865534,loso_20260513_223538.json
Tri-class (3-class),ML,LDA,10,0.8028169014084507,0.741463907773738,loso_20260513_223538.json
Tri-class (3-class),ML,LDA,11,0.8857142857142857,0.8942296918767507,loso_20260513_223538.json
Tri-class (3-class),ML,LDA,13,0.9428571428571428,0.9374877926835535,loso_20260513_223538.json
Tri-class (3-class),ML,LDA,14,0.8285714285714286,0.8229226993188274,loso_20260513_223538.json
Tri-class (3-class),ML,LDA,15,0.8450704225352113,0.7774000323781771,loso_20260513_223538.json
Tri-class (3-class),ML,LDA,16,0.9722222222222222,0.9730141325536061,loso_20260513_223538.json
Tri-class (3-class),ML,LDA,17,0.7777777777777778,0.7904103503803654,loso_20260513_223538.json
Tri-class (3-class),ML,LogisticRegression,2,0.43283582089552236,0.4237055744957413,loso_20260513_223538.json
Tri-class (3-class),ML,LogisticRegression,3,0.7647058823529411,0.7200740436034554,loso_20260513_223538.json
Tri-class (3-class),ML,LogisticRegression,4,0.8382352941176471,0.7678200692041522,loso_20260513_223538.json
Tri-class (3-class),ML,LogisticRegression,5,0.9571428571428572,0.9578728103397411,loso_20260513_223538.json
Tri-class (3-class),ML,LogisticRegression,6,0.9428571428571428,0.9445238095238097,loso_20260513_223538.json
Tri-class (3-class),ML,LogisticRegression,7,0.7428571428571429,0.7308437946925155,loso_20260513_223538.json
Tri-class (3-class),ML,LogisticRegression,8,0.9571428571428572,0.9577888198757764,loso_20260513_223538.json
Tri-class (3-class),ML,LogisticRegression,9,0.8428571428571429,0.793320405085111,loso_20260513_223538.json
Tri-class (3-class),ML,LogisticRegression,10,0.8450704225352113,0.7774000323781771,loso_20260513_223538.json
Tri-class (3-class),ML,LogisticRegression,11,0.8857142857142857,0.8942296918767507,loso_20260513_223538.json
Tri-class (3-class),ML,LogisticRegression,13,0.9428571428571428,0.9375235875235876,loso_20260513_223538.json
Tri-class (3-class),ML,LogisticRegression,14,0.8428571428571429,0.7805929919137468,loso_20260513_223538.json
Tri-class (3-class),ML,LogisticRegression,15,0.8169014084507042,0.7578902982180707,loso_20260513_223538.json
Tri-class (3-class),ML,LogisticRegression,16,0.7638888888888888,0.7824482742515529,loso_20260513_223538.json
Tri-class (3-class),ML,LogisticRegression,17,0.7916666666666666,0.7832722832722834,loso_20260513_223538.json
Tri-class (3-class),ML,RandomForest,2,0.8059701492537313,0.8040100387113204,loso_20260513_223538.json
Tri-class (3-class),ML,RandomForest,3,0.9411764705882353,0.9419934640522876,loso_20260513_223538.json
Tri-class (3-class),ML,RandomForest,4,0.8676470588235294,0.8290083410565339,loso_20260513_223538.json
Tri-class (3-class),ML,RandomForest,5,0.9714285714285714,0.9703571428571428,loso_20260513_223538.json
Tri-class (3-class),ML,RandomForest,6,1.0,1.0,loso_20260513_223538.json
Tri-class (3-class),ML,RandomForest,7,0.9428571428571428,0.9428571428571428,loso_20260513_223538.json
Tri-class (3-class),ML,RandomForest,8,0.8142857142857143,0.8296145124716554,loso_20260513_223538.json
Tri-class (3-class),ML,RandomForest,9,1.0,1.0,loso_20260513_223538.json
Tri-class (3-class),ML,RandomForest,10,0.8450704225352113,0.7774000323781771,loso_20260513_223538.json
Tri-class (3-class),ML,RandomForest,11,1.0,1.0,loso_20260513_223538.json
Tri-class (3-class),ML,RandomForest,13,0.9714285714285714,0.9703663003663004,loso_20260513_223538.json
Tri-class (3-class),ML,RandomForest,14,0.8428571428571429,0.7805929919137468,loso_20260513_223538.json
Tri-class (3-class),ML,RandomForest,15,0.9014084507042254,0.8825612308388483,loso_20260513_223538.json
Tri-class (3-class),ML,RandomForest,16,1.0,1.0,loso_20260513_223538.json
Tri-class (3-class),ML,RandomForest,17,0.9027777777777778,0.9030369409428298,loso_20260513_223538.json
Tri-class (3-class),ML,SVM,2,0.7910447761194029,0.7886928991406603,loso_20260513_223538.json
Tri-class (3-class),ML,SVM,3,0.9117647058823529,0.9119047619047619,loso_20260513_223538.json
Tri-class (3-class),ML,SVM,4,0.8382352941176471,0.7678200692041522,loso_20260513_223538.json
Tri-class (3-class),ML,SVM,5,0.9714285714285714,0.9703571428571428,loso_20260513_223538.json
Tri-class (3-class),ML,SVM,6,1.0,1.0,loso_20260513_223538.json
Tri-class (3-class),ML,SVM,7,0.8571428571428571,0.8057359307359307,loso_20260513_223538.json
Tri-class (3-class),ML,SVM,8,0.9142857142857143,0.9142857142857143,loso_20260513_223538.json
Tri-class (3-class),ML,SVM,9,1.0,1.0,loso_20260513_223538.json
Tri-class (3-class),ML,SVM,10,0.7323943661971831,0.6686780860430352,loso_20260513_223538.json
Tri-class (3-class),ML,SVM,11,0.9571428571428572,0.9588336594911937,loso_20260513_223538.json
Tri-class (3-class),ML,SVM,13,0.9285714285714286,0.9195303207589136,loso_20260513_223538.json
Tri-class (3-class),ML,SVM,14,0.7857142857142857,0.73375104427736,loso_20260513_223538.json
Tri-class (3-class),ML,SVM,15,0.8309859154929577,0.7635040215452923,loso_20260513_223538.json
Tri-class (3-class),ML,SVM,16,0.75,0.7687499999999999,loso_20260513_223538.json
Tri-class (3-class),ML,SVM,17,0.8611111111111112,0.837930778371955,loso_20260513_223538.json
